ID,Nombre
SEDÁN 4 PUERTAS,4 Puertas
COUPÉ 3 + 2 PUERTAS,Coupe
BERLINA 3 PUERTAS,Coupe
BERLINA 5 PUERTAS,5 Puertas
SUV,SUV
HATCH 5 PUERTAS SEDÁN 5 PUERTAS,5 Puertas
BERLINA 4 PUERTAS,4 Puertas
CHASIS LARGO / CHASIS EXTRA LARGO,Camion
SEDÁN 5 PUERTAS,5 Puertas
CAMIONETA 4 PUERTAS,PICK UP
FURGÓN / CHASIS CON CABINA,Furgon
CAMIÓN,Camion
RURAL 5 PUERTAS 2WD,5 Puertas
RURAL 5 PUERTAS 4WD,5 Puertas
FURGONETA,Furgon
TODO TERRENO,4x4
SEDÁN 3/5 PUERTAS,5 Puertas
5 PUERTAS HB,5 Puertas
BERLINA 3 PUERTAS CABRIOLET,Coupe
SEEDÁN 4 PUERTAS,4 Puertas
SEDÁN 5 PUERTAS / COUPÉ,Coupe
CONVERTIBLE,Coupe
SEDÁN 3 PUERTAS / 5 PUERTAS / COUPÉ,Coupe
BERLINA,4 Puertas
RURAL 5 PUERTAS,5 Puertas
HATCHBACK,5 Puertas
RURAL,Rural
MICROOMNIBUS,BUS
PICK UP CABINA DOBLE,PICK UP
FAMILIAR-FURGÓN,Rural
PICK UP,PICK UP
SEDÁN,5 Puertas
PICK UP CABINA SIMPLE - CABINA DOBLE,PICK UP
MINIBUS - FURGÓN,BUS
MONOVOLÚMEN 4 PUERTAS Y PORTÓN TRASERO,4 Puertas
MOMOVOLÚMEN 4PUERTAS Y PORTÓN TRASERO (5 / 7 ASIENTOS),4 Puertas
MONOVOLÚMEN 4 PUERTAS Y PORTÓN TRASERO (5 / 7 ASIENTOS),4 Puertas
MOMOVOLÚMEN 4PUERTAS Y PORTÓN TRASERO,4 Puertas
CHASIS CON CABINA SIMPLE,Camion
CHASIS CON CABINA DOBLE,PICK UP
SEDÁN 2 o 4 PUERTAS CON PORTÓN TRASERO,4 Puertas
SUV – CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,SUV
PICK UP: CAJA BAJA JAULA CAJA PAQUETERA FURGÓN,PICK UP
SEDÁN 4/5 PUERTAS,4 Puertas
PICK UP 2 PUETAS CABINA SIMPLE PICK UP 4 PUERTAS CABINA DOBLE,PICK UP
CAMIONETA DE 4 PUERTAS,PICK UP
RURAL 4/5 PUERTAS,Rural
SUV 5 PUERTAS,SUV
COUPÉ 4 PUERTAS,Coupe
SEDÁN 4 / 5 PUERTAS,4 Puertas
COMERCIAL LIVIANO,BUS
SUV 4/5 PUERTAS,SUV
FAMILIAR RURAL,Rural
FAMILIAR 4 PUERTAS,4 Puertas
FAMILIAR,Rural
SEDÁN 3 PUERTAS,Coupe
SEDÁN 5 PUERTAS (FAMILIAR),5 Puertas
FAMILIAR 5 PUERTAS,5 Puertas
SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4 Puertas
BERLINA 4 PUERTAS CON PORTÓN TRASERO,4 Puertas
TODOTERRENO,4x4
CAMIONETA DE CARGA,PICK UP
CAMIONETA,PICK UP
RURAL 4 PUERTAS CON PORTÓN TRASERO,Rural
COUPÉ 2 PUERTAS,Coupe
COUPÉ CONVERTIBLE 2 PUERTAS,Coupe
STATION WAGON - SUV - CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,SUV
SEDÁN 3 PUERTAS CON PORTÓN,Coupe
DE CARGA CABINA SIMPLE,Camion
DE CARGA CABINA DOBLE,PICK UP
RURAL 5 PUERTAS -- TODOTERRENO,Rural
SUV 4 PUERTAS Y PORTÓN TRASERO,SUV
SEDÁN - COUPÉ,Coupe
FAMILIAR-CABRIOLET,Rural
RURAL 5 PUERTAS TODOTERRENO,Rural
FURGÓN,Furgon
SEDÁN 4 PUERTAS - COUPÉ 2 PUERTAS,4 Puertas
CABRIOLET 2 PUERTAS,Coupe
COUPÉ,Coupe
PICK UP CABINA SIMPLE / CABINA DOBLE,PICK UP
STATION WAGON - SUV - CROSSOVER - 4 PUERTAS CON PORTÓN TRASERO,SUV
SEDÁN 4 PUERTAS Y PORTÓN TRASERO,4 Puertas
HATCHBACK 4 PUERTAS CON PORTÓN TRASERO,4 Puertas
SEDÁN 4 PUERTAS CON PORTÓN TRASERO HB / SEDÁN 4 PUERTSA CON BAÚL TRASERO NB,4 Puertas
SEDÁN 4 PUERTAS CON TAPA BAÚL NB,4 Puertas
SEDÁN 4 PUERTAS CON PORTÓN TRASERO HB,4 Puertas
SEDÁN 4 PUERTSA CON BAÚL TRASERO NB,4 Puertas
SEDÁN 4 PUERTAS CON BAÚL TRASERO NB,4 Puertas
MONOVOLUMEN 5 PLAZAS / MONOVULUMEN 7 PLAZAS,5 Puertas
PICK UP CABINA SIMPLE CABINA DOBLE,PICK UP
MONOVOLUMEN 7 PLAZAS,5 Puertas
CONVERTIBLE 2 PUERTAS / COUPÉ 2 PUERTAS - CONVERTIBLE 2 PUERTAS,Coupe
COUPÉ 2 PUERTAS COUPÉ 2 PUERTAS CABRIO,Coupe
RURAL 4 PUERTAS CON PORTÓN TRASERO / SEDÁN 2 PUERTAS CON PORTÓN TRASERO,Rural
SEDÁN 3 PUERTAS COUPÉ,Coupe
SEDÁN 5 PUERTAS (HATCHBACK),5 Puertas
BERLINA 4 PUERTAS Y PORTÓN TRASERO,4 Puertas
Chasis Largo,Camion
PICK UP CABINA SIMPLE DOBLE,PICK UP
SUV CROSSOVER 4 PUERTAS CON PORTÓN TRASERO ,SUV
